DATE,Housing Starts,Real Median Household Income,Existing Home Sales,Rental Vacancy Rate,New One Family Houses Sold,30-Year Fixed Mortgage Rate,Unemployment Rate,Consumer Price Index,Consumer Confidence Index,Building Permits,Personal Income,Nonfarm Payrolls,10-Year Treasury Yield,S&P 500,Delinquency Rate on All Loans,Median Home Price
2000-01-31,,,,,,,,,,,,,,,,
2000-02-29,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,,
2000-04-30,,,,,,,,,,,,,,,,
2000-05-31,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,,
2000-07-31,,,,,,,,,,,,,,,,
2000-08-31,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,
2000-10-31,,,,,,,,,,,,,,,,
2000-11-30,,,,,,,,,,,,,,,,
2000-12-31,,,,,,,,,,,,,,,,
2001-01-31,-0.022004889975550168,,,,0.07216494845360821,-0.1333333333333333,0.050000000000000044,0.037212049616065945,-0.15446428571428572,-0.01621308627678053,0.07102299952084334,0.012899877107679592,-0.22305389221556882,,,
2001-02-28,-0.0644789867587795,,,,0.125,-0.1432009626955476,0.024390243902439046,0.03529411764705892,-0.18598382749326148,-0.021276595744680882,0.06742935971839037,0.012705918242831071,-0.23364485981308414,,,
2001-03-31,-0.0644789867587795,,,,0.125,-0.1432009626955476,0.024390243902439046,0.03529411764705892,-0.18598382749326148,-0.021276595744680882,0.06742935971839037,0.012705918242831071,-0.23364485981308414,,,
2001-04-30,0.014145141451414434,,,0.0   37974683544303556,0.08085612366230688,-0.12423124231242322,0.1578947368421053,0.03218256290228205,-0.19047619047619047,0.04320601127113344,0.059023369539662474,0.004337177649886614,-0.14125200642054592,,0.16346153846153832,0.02722323049001818
2001-05-31,0.01904761904761898,,,0.037974683544303556,0.03267211201866971,-0.16473317865429227,0.07499999999999996,0.035630841121495394,-0.16892502258355924,0.0790667530784186,0.054608227514775676,0.002308752062737396,-0.13672496025437209,,0.16346153846153832,0.02722323049001818
2001-06-30,0.01904761904761898,,,0.037974683544303556,0.03267211201866971,-0.16473317865429227,0.07499999999999996,0.035630841121495394,-0.16892502258355924,0.0790667530784186,0.054608227514775676,0.002308752062737396,-0.13672496025437209,,0.16346153846153832,0.02722323049001818
2001-07-31,0.14149008885851,,,0.03750000000000009,-0.007891770011273946,-0.1353013530135302,0.1499999999999999,0.027214823393167498,-0.1468144044321329,0.03631647211413758,0.04031020276274355,-0.00041594821066637255,-0.1605960264900662,,0.19158878504672883,0.09681372549019618
2001-08-31,0.016872160934458202,,,0.03750000000000009,0.021226415094339535,-0.1339173967459324,0.19512195121951237,0.027214823393167498,-0.1472506989748369,0.04059278350515472,0.033194830238056916,-0.0015654422941669965,-0.15357766143106466,,0.19158878504672883,0.09681372549019618
2001-09-30,0.016872160934458202,,,0.03750000000000009,0.021226415094339535,-0.1339173967459324,0.19512195121951237,0.027214823393167498,-0.1472506989748369,0.04059278350515472,0.033194830238056916,-0.0015654422941669965,-0.15357766143106466,,0.19158878504672883,0.09681372549019618
2001-10-31,-0.005810200129115595,,,0.024390243902439046,-0.06645230439442662,-0.13541666666666663,0.35897435897435903,0.02127659574468077,-0.21833648393194705,-0.0069752694990488084,0.02220174929766472,-0.006800048355899424,-0.2547660311958405,,0.23636363636363633,0.021919431279620927
2001-11-30,0.03288201160541582,,,0.024390243902439046,0.050000000000000044,-0.09184993531694707,0.41025641025641035,0.01894374282433997,-0.22026022304832704,0.022924411400247813,0.01988671835094613,-0.010652342836450335,-0.12773722627737227,,0.23636363636363633,0.021919431279620927
2001-12-31,0.023498694516971286,-0.01645175633614937,,0.12820512820512842,-0.004069175991861629,0.004207573632538653,0.4615384615384617,0.01603665521191311,-0.09756097560975618,0.08878807517822418,0.016587516960651305,-0.013065296342621213,-0.009765625,,0.170940170940171,-0.010410641989589409
2002-01-31,0.06125000000000003,-0.01645175633614937,,0.12820512820512842,-0.05982905982905984,-0.02657342657342665,0.3571428571428572,0.011958997722095743,-0.01795142555438234,-0.020011771630370823,0.008354863604335128,-0.013911182450508264,-0.023121387283236983,,0.170940170940171,-0.010410641989589409
2002-02-28,0.1255384615384616,-0.01645175633614937,,0.12820512820512842,-0.015576323987538943,-0.04353932584269671,0.3571428571428572,0.011363636363636465,0.0011037527593820151,0.07910628019323673,0.006250139263352716,-0.015468498185049584,-0.008130081300813052,,0.170940170940171,-0.010410641989589409
2002-03-31,0.1255384615384616,-0.01645175633614937,,0.12820512820512842,-0.015576323987538943,-0.04353932584269671,0.3571428571428572,0.011363636363636465,0.0011037527593820151,0.07910628019323673,0.006250139263352716,-0.015468498185049584,-0.008130081300813052,,0.170940170940171,-0.010410641989589409
2002-04-30,-0.03456640388114007,-0.01645175633614937,,0.10975609756097571,0.02970297029702973,-0.03370786516853941,0.34090909090909083,0.01643990929705219,0.05203619909502266,0.0018007202881151763,0.010101122223578951,-0.01388396059038921,-0.04485981308411202,,0.13636363636363646,0.11130742049469955
2002-05-31,0.09906542056074774,-0.01645175633614937,,0.10975609756097571,0.10508474576271176,-0.061111111111111116,0.34883720930232553,0.012408347433727984,0.05326086956521747,0.03063063063063054,0.01330581172109957,-0.013435439653805226,-0.0644567219152854,,0.13636363636363646,0.11130742049469955
2002-06-30,0.09906542056074774,-0.01645175633614937,,0.10975609756097571,0.10508474576271176,-0.061111111111111116,0.34883720930232553,0.012408347433727984,0.05326086956521747,0.03063063063063054,0.01330581172109957,-0.013435439653805226,-0.0644567219152854,,0.13636363636363646,0.11130742049469955
2002-07-31,-0.008982035928143728,-0.01645175633614937,,0.012048192771084265,0.08636363636363642,-0.0981507823613087,0.26086956521739135,0.01465614430665152,-0.046536796536796654,0.08760951188986232,0.015852062210192308,-0.012014556679503352,-0.1104536489151875,,0.07843137254901977,0.045810055865921795
2002-08-31,-0.008982035928143728,-0.01645175633614937,,0.012048192771084265,0.08636363636363642,-0.0981507823613087,0.26086956521739135,0.01465614430665152,-0.046536796536796654,0.08760951188986232,0.015852062210192308,-0.012014556679503352,-0.1104536489151875,,0.07843137254901977,0.045810055865921795
2002-09-30,0.15492957746478875,-0.01645175633614937,,0.0714285714285714,0.22391559202813593,-0.10863095238095233,0.14000000000000012,0.01516002245929271,0.05256723716381417,0.15207667731629404,0.024712265885262985,-0.009615603536599293,-0.2108695652173913,,-0.011029411764705954,0.03246376811594209
2002-10-31,0.07012987012987004,-0.01645175633614937,,0.0714285714285714,0.1549942594718714,-0.049698795180722954,0.07547169811320753,0.020270270270270174,-0.02539298669891188,0.14878671775223506,0.0269602661533499,-0.006321699175364404,-0.08604651162790689,,-0.011029411764705954,0.03246376811594209
2002-11-30,0.07012987012987004,-0.01645175633614937,,0.0714285714285714,0.1549942594718714,-0.049698795180722954,0.07547169811320753,0.020270270270270174,-0.02539298669891188,0.14878671775223506,0.0269602661533499,-0.006321699175364404,-0.08604651162790689,,-0.011029411764705954,0.03246376811594209
2002-12-31,0.14030612244897966,-0.008137432188065064,,0.05681818181818188,0.0704800817160367,-0.1717877094972068,0.05263157894736836,0.024802705749718212,-0.023648648648648574,0.12857142857142856,0.03310087089992986,-0.0039317779270751085,-0.24457593688362922,,-0.06204379562043805,0.11104617182933962
2003-01-31,0.091283863368669,-0.008137432188065064,,0.05681818181818188,0.13522727272727275,-0.1522988505747126,0.01754385964912264,0.02757456387169399,-0.11397849462365583,0.08588588588588597,0.030447224810328688,-0.0020863105928026204,-0.21104536489151882,,-0.06204379562043805,0.11104617182933962
2003-02-28,-0.10934937124111532,-0.008137432188065064,,0.05681818181818188,-0.012658227848101222,-0.14977973568281933,0.03508771929824572,0.03146067415730336,-0.11907386990077173,0.03749300503637376,0.02926294578106492,-0.002210629379187923,-0.23975409836065575,,-0.06204379562043805,0.11104617182933962
2003-03-31,0.05115712545675999,-0.008137432188065064,,0.03296703296703307,0.08234019501625145,-0.17688022284122562,0.03508771929824572,0.03025210084033625,-0.18913270637408575,0.03903015966883494,0.03127934855867487,-0.003733170134638919,-0.2933579335793358,,-0.0763636363636363,-0.014308426073131986
2003-04-30,0.03203517587939708,-0.008137432188065064,,0.03296703296703307,0.08119658119658113,-0.15843023255813948,0.016949152542372836,0.02175125488008911,-0.07526881720430112,0.08028759736369073,0.02818712293541692,-0.003368653151221923,-0.23874755381604695,,-0.0763636363636363,-0.014308426073131986
2003-05-31,0.03203517587939708,-0.008137432188065064,,0.03296703296703307,0.08119658119658113,-0.15843023255813948,0.016949152542372836,0.02175125488008911,-0.07526881720430112,0.08028759736369073,0.02818712293541692,-0.003368653151221923,-0.23874755381604695,,-0.0763636363636363,-0.014308426073131986
2003-06-30,0.08736167734420497,-0.008137432188065064,,0.1428571428571428,0.24660397074190188,-0.19999999999999996,0.0862068965517242,0.01948775055679297,-0.02922077922077926,0.06655290102389078,0.03169736382681565,-0.0037495600006122176,-0.27160493827160503,,-0.12,0.024572649572649485
2003-07-31,0.1462235649546828,-0.008137432188065064,,0.1428571428571428,0.2217573221757323,-0.06309148264984221,0.06896551724137945,0.020555555555555438,0.03178206583427934,0.08457997698504038,0.03648375648375657,-0.0030707967990197815,-0.0044345898004433115,,-0.12,0.024572649572649485
2003-08-31,0.1462235649546828,-0.008137432188065064,,0.1428571428571428,0.2217573221757323,-0.06309148264984221,0.06896551724137945,0.020555555555555438,0.03178206583427934,0.08457997698504038,0.03648375648375657,-0.0030707967990197815,-0.0044345898004433115,,-0.12,0.024572649572649485
2003-09-30,0.07483370288248348,-0.008137432188065064,,0.10000000000000009,0.08333333333333326,-0.0016694490818029983,0.07017543859649122,0.02378318584070782,0.018583042973286945,0.08763172490293947,0.0419045133792173,-0.0018850863614767732,0.09090909090909083,,-0.17472118959107796,0.07748455923638398
2003-10-31,0.19356796116504849,-0.008137432188065064,,0.10000000000000009,0.1371769383697814,-0.058637083993660744,0.05263157894736836,0.02041942604856528,0.11166253101736978,0.11839911061700947,0.042342029990465324,-0.0013933441024031046,0.10178117048346058,,-0.17472118959107796,0.07748455923638398
2003-11-30,0.19356796116504849,-0.008137432188065064,,0.10000000000000009,0.1371769383697814,-0.058637083993660744,0.05263157894736836,0.02041942604856528,0.11166253101736978,0.11839911061700947,0.042342029990465324,-0.0013933441024031046,0.10178117048346058,,-0.17472118959107796,0.07748455923638398
2003-12-31,0.15044742729306493,0.0006077180188392983,,0.09677419354838701,0.07729007633587792,-0.013490725126475533,-0.04999999999999993,0.020352035203520247,0.06805074971164937,0.04799578059071741,0.04574572311402525,0.0009580819964896126,0.11488250652741505,,-0.16342412451361865,0.04576538663861118
2004-01-31,0.15044742729306493,0.0006077180188392983,,0.09677419354838701,0.07729007633587792,-0.013490725126475533,-0.04999999999999993,0.020352035203520247,0.06805074971164937,0.04799578059071741,0.04574572311402525,0.0009580819964896126,0.11488250652741505,,-0.16342412451361865,0.04576538663861118
2004-02-29,0.15044742729306493,0.0006077180188392983,,0.09677419354838701,0.07729007633587792,-0.013490725126475533,-0.04999999999999993,0.020352035203520247,0.06805074971164937,0.04799578059071741,0.04574572311402525,0.0009580819964896126,0.11488250652741505,,-0.16342412451361865,0.04576538663861118
2004-03-31,0.15758980301274628,0.0006077180188392983,,0.1063829787234043,0.27727727727727736,-0.08629441624365475,-0.016949152542372947,0.017400761283306032,0.23453608247422686,0.17586795674445077,0.05164027512910074,0.006964494133546273,0.007832898172323688,,-0.22834645669291342,0.1435483870967742
2004-04-30,0.21911138161898958,0.0006077180188392983,,0.1063829787234043,0.17193675889328053,0.03799654576856648,-0.06666666666666676,0.022925764192139875,0.09534883720930232,0.1480865224625625,0.054444016929588335,0.009471792035398163,0.1645244215938304,,-0.22834645669291342,0.1435483870967742
2004-05-31,0.13135351227869796,0.0006077180188392983,,0.1063829787234043,0.15120593692022255,0.19020715630885143,-0.08196721311475408,0.028977583378895444,-0.02062975027144398,0.17166212534059944,0.05689157036029924,0.01149804909521035,0.3827893175074184,,-0.22834645669291342,0.1435483870967742
2004-06-30,-0.020889126941617597,0.0006077180188392983,,0.0625,-0.010896898575020963,0.19274809160305328,-0.11111111111111116,0.03167667941015839,0.06577480490523957,0.07733333333333325,0.05638107727940955,0.012266498709598173,0.30508474576271194,,-0.23140495867768585,0.13451511991657972
2004-07-31,-0.020889126941617597,0.0006077180188392983,,0.0625,-0.010896898575020963,0.19274809160305328,-0.11111111111111116,0.03167667941015839,0.06577480490523957,0.07733333333333325,0.05638107727940955,0.012266498709598173,0.30508474576271194,,-0.23140495867768585,0.13451511991657972
2004-08-31,0.1042007637752318,0.0006077180188392983,,0.0625,-0.02570480928689889,-0.07911392405063289,-0.11475409836065564,0.025474254742547275,0.07390817469204936,0.04577822990844349,0.056547993458296864,0.01369926163822588,-0.07191011235955058,,-0.23140495867768585,0.13451511991657972
2004-09-30,-0.01753481175863847,0.0006077180188392983,,0.02020202020202011,0.07338638373121142,-0.0434782608695653,-0.11475409836065564,0.025391680172879516,0.07411630558722915,0.040795512493625674,0.055100443516827635,0.014057365721831472,0.045454545454545414,,-0.21621621621621634,0.11255862428348107
